3.44481e-04 3.00015e-04  3.52837e+00 3.52860e+00 6.54314e-05
3.45593e-04 2.00327e-04  3.55090e+00 3.55104e+00 6.54939e-05
3.46705e-04 1.70893e-04  3.57348e+00 3.57360e+00 6.55526e-05
3.47817e-04 1.46841e-04  3.59612e+00 3.59623e+00 6.56077e-05
3.48929e-04 1.34962e-04  3.61884e+00 3.61894e+00 6.56615e-05
3.50042e-04 1.52705e-04  3.64165e+00 3.64176e+00 6.57510e-05
3.51154e-04 1.56844e-04  3.66455e+00 3.66466e+00 6.58518e-05
3.52267e-04 1.88674e-04  3.68751e+00 3.68765e+00 6.59389e-05
3.53380e-04 2.71769e-04  3.71053e+00 3.71074e+00 6.60179e-05
3.54493e-04 3.07750e-04  3.73362e+00 3.73385e+00 6.61072e-05
3.55606e-04 3.46851e-04  3.75677e+00 3.75704e+00 6.61541e-05
3.56719e-04 3.57202e-04  3.78000e+00 3.78029e+00 6.62211e-05
3.57832e-04 3.04565e-04  3.80332e+00 3.80357e+00 6.62548e-05
3.58946e-04 2.54634e-04  3.82672e+00 3.82692e+00 6.63102e-05
3.60059e-04 1.95140e-04  3.85019e+00 3.85033e+00 6.63553e-05
3.61173e-04 1.39196e-04  3.87371e+00 3.87381e+00 6.64169e-05
3.62286e-04 1.51365e-04  3.89730e+00 3.89740e+00 6.64856e-05
3.63400e-04 1.61141e-04  3.92095e+00 3.92107e+00 6.65429e-05
3.64514e-04 1.69377e-04  3.94470e+00 3.94483e+00 6.65864e-05
3.65628e-04 1.97127e-04  3.96854e+00 3.96868e+00 6.66712e-05
3.66743e-04 1.98198e-04  3.99245e+00 3.99259e+00 6.67612e-05
3.67857e-04 2.38613e-04  4.01641e+00 4.01659e+00 6.68058e-05
3.68971e-04 3.08222e-04  4.04042e+00 4.04067e+00 6.68452e-05
3.70086e-04 3.28614e-04  4.06451e+00 4.06478e+00 6.68924e-05
3.71201e-04 3.30321e-04  4.08869e+00 4.08895e+00 6.69625e-05
3.72316e-04 2.96625e-04  4.11295e+00 4.11319e+00 6.70042e-05
3.73430e-04 2.26027e-04  4.13730e+00 4.13746e+00 6.70671e-05
3.74546e-04 1.99021e-04  4.16170e+00 4.16184e+00 6.71477e-05
3.75661e-04 1.73547e-04  4.18615e+00 4.18628e+00 6.72259e-05
3.76776e-04 1.59452e-04  4.21067e+00 4.21079e+00 6.72929e-05
3.77891e-04 1.74431e-04  4.23527e+00 4.23540e+00 6.73867e-05
3.79007e-04 1.63489e-04  4.25997e+00 4.26009e+00 6.74568e-05
3.80123e-04 1.64996e-04  4.28475e+00 4.28487e+00 6.74921e-05
3.81238e-04 2.13065e-04  4.30960e+00 4.30975e+00 6.75410e-05
